id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
3.00 ,11.00 ,30.00 ,30.00 ,10.00 ,30.00 ,8.00 ,0.00 ,4.00 ,3.00 ,3.00 ,3.00 ,5.00 ,4.00 ,4.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,5.00 ,3.00 
4.00 ,1.00 ,30.00 ,30.00 ,11.00 ,0.00 ,9.00 ,0.00 ,3.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,4.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,4.00 
5.00 ,23.00 ,30.00 ,25.00 ,8.00 ,30.00 ,6.00 ,0.00 ,4.00 ,3.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
6.00 ,11.00 ,45.00 ,20.00 ,6.00 ,20.00 ,6.00 ,10.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 
7.00 ,11.00 ,30.00 ,30.00 ,7.00 ,30.00 ,8.00 ,10.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,3.00 ,2.00 ,4.00 ,3.00 ,2.00 ,4.00 ,3.00 
8.00 ,6.00 ,20.00 ,12.00 ,23.00 ,23.00 ,23.00 ,23.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 
9.00 ,1.00 ,30.00 ,180.00 ,9.00 ,50.00 ,5.00 ,5.00 ,5.00 ,4.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,2.00 ,4.00 ,5.00 
10.00 ,12.00 ,59.00 ,50.00 ,8.00 ,30.00 ,7.00 ,0.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,3.00 ,3.00 ,4.00 ,3.00 
11.00 ,11.00 ,30.00 ,20.00 ,7.00 ,20.00 ,8.00 ,10.00 ,3.00 ,3.00 ,3.00 ,3.00 ,2.00 ,3.00 ,3.00 ,3.00 ,2.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 
12.00 ,12.00 ,30.00 ,10.00 ,8.00 ,0.00 ,7.00 ,58.00 ,4.00 ,4.00 ,3.00 ,3.00 ,4.00 ,4.00 ,4.00 ,4.00 ,4.00 ,3.00 ,3.00 ,4.00 ,3.00 ,3.00 
13.00 ,10.00 ,10.00 ,30.00 ,7.00 ,30.00 ,7.00 ,30.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,4.00 ,2.00 ,3.00 ,3.00 
14.00 ,12.00 ,30.00 ,30.00 ,9.00 ,30.00 ,8.00 ,1.00 ,4.00 ,5.00 ,2.00 ,2.00 ,5.00 ,5.00 ,4.00 ,4.00 ,2.00 ,2.00 ,3.00 ,2.00 ,5.00 ,3.00 
15.00 ,11.00 ,30.00 ,15.00 ,6.00 ,30.00 ,7.00 ,15.00 ,3.00 ,4.00 ,4.00 ,3.00 ,3.00 ,4.00 ,4.00 ,3.00 ,3.00 ,3.00 ,4.00 ,2.00 ,5.00 ,4.00 
16.00 ,12.00 ,30.00 ,20.00 ,10.00 ,30.00 ,9.00 ,20.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,4.00 
