id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
5,22,30,10,7,10,8,0,4,4,2,1,4,3,4,1,2,4,4,1,4,2
7,11,30,15,6,40,7,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,00,30,4,7,00,4,30,2,2,2,2,1,1,1,4,1,4,4,1,4,4
30,23,24,10,8,9,7,30,1,1,1,1,2,2,3,2,1,2,2,1,2,2
56,11,30,30,9,30,10,0,1,1,1,1,2,3,3,1,1,1,2,1,1,2
60,23,30,15,7,10,7,25,3,4,1,1,2,1,1,2,2,2,2,1,2,2
4,00,10,30,8,45,7,30,3,4,4,3,1,1,4,4,2,4,4,1,4,4
37,1,00,60,7,00,5,00,4,1,1,1,1,1,1,1,1,1,3,1,2,2
40,23,00,30,8,00,8,00,2,3,1,1,1,1,1,1,1,3,2,1,1,1
78,12,38,23,9,30,7,9,3,2,3,4,3,4,3,3,3,3,3,3,3,3
2,1,20,30,8,10,6,20,4,1,4,2,1,4,3,3,2,3,4,1,3,4
16,12,00,10,9,30,8,30,1,2,2,2,1,1,1,1,1,1,2,1,1,2
21,23,30,90,10,00,9,0,1,3,3,1,4,1,4,2,1,1,2,1,3,3
22,4,30,5,12,30,8,0,1,1,1,1,4,1,1,1,1,1,3,1,2,4
26,12,10,10,8,30,7,30,3,3,3,3,4,3,3,3,3,3,3,3,3,3
28,10,00,5,6,00,8,00,1,3,4,2,2,1,1,1,1,1,1,1,2,2
39,12,00,60,11,00,9,00,3,1,3,1,1,2,2,2,1,2,2,1,2,2
46,23,10,20,8,00,8,30,1,1,1,1,1,1,1,2,1,1,2,1,1,1
64,9,23,25,9,30,8,6,3,4,2,1,1,2,3,4,3,3,2,1,3,3
72,24,00,30,9,00,8,30,2,1,1,1,1,1,1,2,1,1,2,1,3,2
9,7,1,30,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,23,30,20,10,00,8,30,3,3,2,2,2,1,1,4,1,2,2,1,1,2
19,1,2,2,3,7,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
45,3,10,35,13,10,10,10,3,2,3,1,1,1,2,1,1,1,3,1,2,3
58,1,00,15,9,00,7,30,2,1,1,1,1,1,2,1,1,1,1,1,1,1
59,23,00,60,8,10,8,06,3,4,4,2,1,4,1,2,3,4,3,1,3,4
69,12,20,30,9,20,8,0,2,1,1,1,2,2,2,1,1,2,1,1,1,3
29,11,30,30,10,00,10,0,1,2,1,1,1,1,1,2,1,1,3,1,1,1
31,11,30,45,6,10,5,0,4,4,4,1,1,1,1,1,1,1,3,1,4,3
33,11,40,10,8,0,8,12,1,1,2,1,1,1,2,1,1,1,1,1,2,2
34,1,00,60,9,00,7,00,3,4,3,3,4,3,3,3,4,1,3,1,3,3
35,11,30,30,7,10,7,30,3,3,3,1,1,2,2,1,1,1,2,1,1,1
85,22,00,45,7,00,7,00,4,4,1,1,1,1,4,1,1,1,2,1,4,3
